symbol,笔数,期望R,总R,最好一笔R,空头占比,去掉最好一笔后总R,最好一笔占比,历史长度,日均成交额,年化波动,全程涨跌,最大回撤,距高点,偏度,rule
RVNUSDT,10,0.42270758694607735,4.227075869460774,2.9907174772297647,0.8,1.236358392231009,0.707514501652717,1322,5741632.68352,0.8879861980294301,-0.8612064482579304,-0.9554276880796977,-0.9541566472002748,1.1205666010014985,A 密集突破
SUSHIUSDT,9,0.460093004442315,4.140837039980835,2.9917834507042262,0.4444444444444444,1.1490535892766087,0.7225069283861683,1322,19299799.8635,1.054472978621452,-0.832731137088204,-0.9448798230154861,-0.9409801642356294,0.8498320779060773,A 密集突破
FILUSDT,8,0.5153750033475721,4.123000026780577,2.990970924790918,0.5,1.1320291019896591,0.7254355821885361,1322,133843054.38069999,1.0174735850358523,-0.7808757244043786,-0.9416652136006974,-0.940662598081953,2.969620903874547,A 密集突破
XTZUSDT,10,0.4028996346299392,4.028996346299392,2.9890505338379594,0.5,1.0399458124614327,0.7418846474217787,1322,13882193.4532,0.8189090340098261,-0.7271210013908205,-0.8918060200668896,-0.8906354515050168,2.2121410743895717,A 密集突破
SANDUSDT,8,0.4933433689407441,3.946746951525953,2.9934991158352924,0.375,0.9532478356906604,0.7584725224600222,1322,38596802.489549994,0.9774214464647918,-0.8968315301391035,-0.9591649215778452,-0.9572097098166589,2.7686064945456375,A 密集突破
ALGOUSDT,8,0.4924594148758865,3.939675319007092,2.991783969010728,0.5,0.9478913499963642,0.7593986120066211,1322,30455845.58125,0.8812357385211553,-0.5507058159232072,-0.8482346018046293,-0.843919183993723,0.8147048307865116,A 密集突破
THETAUSDT,8,0.4905140573793596,3.924112459034877,2.9911267965506227,0.125,0.9329856624842541,0.7622428836522899,1322,19781514.488315,0.932040368848401,-0.8128926522807975,-0.9644576403101669,-0.9605084892335187,0.2526080395027124,A 密集突破
CHZUSDT,8,0.4891515330873809,3.9132122646990473,2.9921567517615792,0.125,0.921055512937468,0.7646292992469951,1322,23834080.98032,0.8655338410513977,-0.8757911392405063,-0.9261636276391555,-0.9246641074856046,0.000786841189538242,A 密集突破
ONTUSDT,9,0.43321537237299634,3.898938351356967,2.9870367839410603,0.6666666666666666,0.9119015674159066,0.7661154177781413,1322,8841368.42188,0.9604802022214176,-0.7657963446475196,-0.9242743496022361,-0.9228552999354978,1.4706204784649621,A 密集突破
STGUSDT,12,0.3239338078371789,3.887205694046147,2.9943907938258,0.5833333333333334,0.8928149002203472,0.7703196150417688,1322,9012769.146650001,1.1523058142285325,-0.6053576360121513,-0.914495442445753,-0.8847301766556425,1.8483836095564423,A 密集突破
ROSEUSDT,10,0.379373203992897,3.79373203992897,2.9940222075424043,0.7,0.7997098323865655,0.7892023411327864,1322,13843874.269895,1.0062249075148988,-0.846867816091954,-0.9719786860030762,-0.9707262140188969,0.6364744931949989,A 密集突破
VETUSDT,7,0.5238187106151166,3.6667309743058167,2.990594088724094,0.42857142857142855,0.6761368855817227,0.81560226525489,1322,17715606.2241015,0.8371847256023207,-0.7197630922693267,-0.9438871835707222,-0.9422689151179666,0.7322444788342994,A 密集突破
MINAUSDT,8,0.4568143923740087,3.65451513899207,2.993201850832428,0.625,0.6613132881596417,0.819042126518038,1285,12032968.6148,0.9893453429340218,-0.9548540315106581,-0.9768053592280745,-0.9760494130661914,1.2980357554741229,A 密集突破
IOTXUSDT,8,0.45393039107503885,3.631443128600311,2.9913711930105213,0.375,0.6400719355897895,0.8237417156422614,1322,6641321.989275,0.9837922175497147,-0.8723285114325712,-0.9761600928074246,-0.9682598607888631,0.601059748202113,A 密集突破
