symbol,笔数,胜率,期望R,总R,多/空,止损宽度,币价涨跌,日均成交额,年化波动,rule
LTCUSDT,7,0.2857142857142857,0.1094046329051691,0.7658324303361836,3/4,0.04915806721917427,-0.3817720090293454,196246848.8887,0.701481237927232,B 回踩20均线
LUNA2USDT,5,0.4,0.5356866244362575,2.6784331221812874,1/4,0.047686581441233736,-0.96685651868612,12396483.87555,1.10145573995932,B 回踩20均线
MAGICUSDT,9,0.4444444444444444,0.75470003512092,6.79230031608828,4/5,0.05968586493403145,-0.965798826349285,15105708.184235,1.2492491927893619,B 回踩20均线
MANAUSDT,5,0.2,-0.24722369908209402,-1.23611849541047,3/2,0.05346350629288706,-0.7854298041818786,22261242.23365,0.8750161010091967,B 回踩20均线
MANTAUSDT,3,0.3333333333333333,0.2634625855613046,0.7903877566839137,0/3,0.09445745620765042,-0.973829924451815,12548348.3528,1.1062236775447154,B 回踩20均线
MASKUSDT,6,0.3333333333333333,0.2839237313426903,1.7035423880561418,3/3,0.034921250278016236,-0.8329035339063993,28389534.233999997,0.9690760194063506,B 回踩20均线
MAVUSDT,5,0.4,0.5627884121123293,2.8139420605616468,0/5,0.03461090568822458,-0.9780338821283703,6982483.7389,1.1485347005575581,B 回踩20均线
MEMEUSDT,2,1.0,2.9895328339035814,5.979065667807163,0/2,0.12421862869469451,-0.9814905221404325,23767730.3794225,1.3685063184286401,B 回踩20均线
METISUSDT,2,0.5,0.9545088202108624,1.9090176404217247,0/2,0.053654631222553914,-0.9818665450676395,4181075.51203,1.0905848148973658,B 回踩20均线
MEWUSDT,3,0.3333333333333333,-0.16628711532587914,-0.4988613459776374,0/3,0.05018106675116419,-0.9333058021887259,8797668.6144766,1.2254105404934428,B 回踩20均线
MINAUSDT,5,0.2,-0.23486387048702548,-1.1743193524351274,2/3,0.07458912876106207,-0.9548540315106581,12032968.6148,0.9893453429340218,B 回踩20均线
MOVRUSDT,3,0.3333333333333333,0.2707553818500834,0.8122661455502502,0/3,0.06530958545886356,-0.9737762237762237,4408645.84946,1.3051930383328554,B 回踩20均线
MTLUSDT,7,0.42857142857142855,0.6845997234012413,4.792198063808689,2/5,0.05789697849510442,-0.7314640844052609,7187870.49945,0.8164687599328915,B 回踩20均线
NEARUSDT,10,0.4,0.5568286837682217,5.568286837682217,4/6,0.039107024677001334,0.2864992150706436,130158330.935,1.0047060238705119,B 回踩20均线
NEOUSDT,7,0.2857142857142857,0.10420039190854169,0.7294027433597918,3/4,0.042985542270027356,-0.7353677621283254,17564110.23089,0.8930103287654175,B 回踩20均线
NMRUSDT,6,0.16666666666666666,-0.35117446065711605,-2.107046763942696,3/3,0.07505104566769197,-0.40259067357512957,5541810.9095,1.2292222676766886,B 回踩20均线
NOTUSDT,2,0.0,-1.0285752089159905,-2.057150417831981,0/2,0.05128547001634097,-0.9496358098265131,18764756.7313206,1.2778937140430398,B 回踩20均线
OGNUSDT,8,0.125,-0.5216482282533096,-4.173185826026477,3/5,0.07763975263043485,-0.8105263157894738,6900237.927100001,1.010534541199536,B 回踩20均线
ONDOUSDT,3,0.0,-1.088389126110207,-3.265167378330621,1/2,0.09161121782164931,0.5852713178294573,102723677.61706999,1.082867757886039,B 回踩20均线
ONEUSDT,5,0.2,-0.23015757603676112,-1.1507878801838056,4/1,0.05728789071791161,-0.9272549019607843,7519904.047745001,1.0143281586704975,B 回踩20均线
ONGUSDT,3,0.0,-1.0770523474173224,-3.2311570422519673,0/3,0.01623583207380961,-0.895757436015679,3035121.184685,0.9176630831044224,B 回踩20均线
ONTUSDT,6,0.16666666666666666,-0.35713830601110197,-2.142829836066612,2/4,0.06334583018738651,-0.7657963446475196,8841368.42188,0.9604802022214176,B 回踩20均线
ORDIUSDT,4,0.5,0.974584302233529,3.898337208934116,1/3,0.06992104808291313,-0.7469026548672566,99792216.16780001,1.6598993240564541,B 回踩20均线
PEOPLEUSDT,5,0.2,-0.24140325839986526,-1.2070162919993264,2/3,0.07378580416407228,-0.6244938271604938,27241667.645165,1.3445193909906537,B 回踩20均线
