tf,n,mode,band,sharpe_full,ret_full,dd_full,trades,expo,sharpe_is,ret_is,dd_is,sharpe_oos,ret_oos,dd_oos
1h,12,long_only,0.02,-1.210628987965363,-0.6962945314560438,-0.7546988215832272,1146,0.5203230735647238,-0.359856539955046,-0.2585573636424726,-0.4263555749565753,-2.7678542238469706,-0.5903857511675288,-0.6360247552970754
1h,12,long_only,0.04,-0.9893379966483722,-0.6328871965962429,-0.7146766532015114,995,0.5208469766426544,-0.16688231824563743,-0.1753214228737322,-0.39423364646057657,-2.4773918379558872,-0.5548413483917318,-0.6009416541052826
1h,12,long_only,0.06,-0.7944213422836067,-0.5625515766652804,-0.6523993044695462,903,0.5217638070290329,0.12027133208818677,-0.03297069332790814,-0.3199183453084976,-2.42730863768805,-0.5476368499728892,-0.5965996568508013
1h,14,ls,0.0,-2.257148726281928,-0.9556703297927498,-0.9584750833119677,2471,0.9993451211525868,-2.0909998230040157,-0.837698516480394,-0.8481065676851627,-2.561747778468584,-0.7268683609913222,-0.759500450029611
1h,14,ls,0.02,-1.7284827955955766,-0.9139823409840337,-0.9194247079295126,2071,0.9993451211525868,-1.5030130639309172,-0.7437514137625272,-0.7601840941599742,-2.124249431608428,-0.6643194786789917,-0.700343431647357
1h,14,ls,0.04,-1.6206952549437796,-0.9015647047853421,-0.913339414596057,1781,0.9993451211525868,-1.3629495677549337,-0.7143722994589037,-0.7487689399351318,-2.068403754768279,-0.6553720278944208,-0.6817267731976958
1h,14,ls,0.06,-1.697709079934003,-0.9106089545598148,-0.9166666578281699,1593,0.9993451211525868,-1.568282237418675,-0.7563756913667432,-0.772486503414766,-1.9343177034686285,-0.6330783001841087,-0.6631555967488236
1h,14,long_only,0.0,-1.2511823679367584,-0.6968393161538676,-0.7467846269085289,1235,0.5176598995852434,-0.46076166575612926,-0.28967523677146256,-0.4164091779551681,-2.6810037219073517,-0.5732083413955322,-0.6236470436365478
1h,14,long_only,0.02,-0.8573613856048176,-0.5780954377162948,-0.6819388681151417,1035,0.5169177035581751,-0.03451956821653231,-0.10767306803230225,-0.3509720392651122,-2.323868758987275,-0.5271861162440243,-0.5802005266149831
1h,14,long_only,0.04,-0.7786960016634259,-0.5485470970036663,-0.6836674005228658,890,0.5193625845885178,0.06688025858461251,-0.05776831342440947,-0.3897937368831865,-2.284485390864824,-0.5208684770121972,-0.5673656191582261
1h,14,long_only,0.06,-0.8338526201372397,-0.5700209036392703,-0.6752527035596874,796,0.5184894127919668,-0.08141219594687613,-0.130448711303914,-0.4041581774779508,-2.186576024979459,-0.5055161185425958,-0.5542403017978463
1h,16,ls,0.0,-2.034873492018163,-0.9415168174431814,-0.945381342051763,2291,0.9992578039729316,-1.6252545108013634,-0.7673410213518341,-0.7835004576432427,-2.739412379930869,-0.7486313105274183,-0.7574741065897842
1h,16,ls,0.02,-1.5333509873505002,-0.8903536452962642,-0.8974024738556814,1891,0.9992578039729316,-1.180710420522741,-0.6713778790780859,-0.6942024795205031,-2.137062837017458,-0.6663451796971696,-0.6919322531819034
1h,16,ls,0.04,-1.4011669332965684,-0.8705613062820985,-0.8793451000980677,1608,0.9990831696136214,-1.2069154776007491,-0.6777937160828349,-0.7013178131568039,-1.7411353495256319,-0.5982738382868491,-0.6306627070338786
1h,16,ls,0.06,-1.2639802070171895,-0.8463378513949487,-0.8568881719201897,1428,0.9989958524339664,-1.0789348073997818,-0.6441964983553349,-0.670456067586038,-1.5869640156603468,-0.5681263734202602,-0.5979935856332057
1h,16,long_only,0.0,-1.0909978647873695,-0.6523195532396604,-0.7186313296143636,1145,0.5156516044531761,-0.12835453986531808,-0.15056381105348593,-0.33886039490201314,-2.8079415569228043,-0.590692683824149,-0.6226672749351375
